ModeType,StageID,GridSize,FrontQuestData,SideQuestData,TopQuestData
Alone_Plus,1,3,000 010 111,000 010 010,000 111 000
Alone_Plus,2,3,000 010 110,000 010 110,000 110 010
Alone_Plus,3,3,000 001 111,000 010 111,110 011 010
Alone_Plus,4,3,000 010 111,000 001 111,111 001 001
Alone_Plus,5,3,000 100 110,000 001 111,110 100 100
Alone_Plus,6,3,100 100 111,001 001 001,111 000 000
Alone_Plus,7,3,100 100 110,010 010 110,000 110 100
Alone_Plus,8,3,100 110 111,001 011 111,111 110 100
Alone_Plus,9,3,010 110 111,010 010 111,110 111 010
Alone_Plus,10,3,100 111 111,100 101 111,111 010 111
Alone_Plus,11,4,0000 0000 0101 0111,0000 0000 0110 1110,0000 0111 0111 0010
Alone_Plus,12,4,0000 0100 1110 1110,0000 0100 1100 1110,0000 0100 1110 1110
Alone_Plus,13,4,0000 1000 1010 1110,0000 0010 0110 1111,1000 1110 1000 1000
Alone_Plus,14,4,0000 0010 0110 0111,0000 0001 0011 0111,0111 0110 0010 0000
Alone_Plus,15,4,0000 0010 0110 0111,0000 0010 0110 0111,0100 0110 0111 0000
Alone_Plus,16,4,0000 0010 0110 1111,0000 0100 1110 1111,1000 1110 0111 0010
Alone_Plus,17,4,0000 0100 0101 0111,0000 0010 0010 0110,0000 0111 0110 0000
Alone_Plus,18,4,0000 0110 0110 0111,0000 0110 1110 1110,0000 0011 0110 0100
Alone_Plus,19,4,0000 0010 0111 1111,0000 0100 0101 1111,0001 0001 1111 0001
Alone_Plus,20,4,0000 0110 1111 1111,0000 0110 1110 1111,1000 1110 1111 1000
Alone_Plus,21,5,00000 00000 00000 01111 01111,00000 00000 00000 01110 01110,00000 01111 01000 01000 00000
Alone_Plus,22,5,00000 00000 00000 00111 01111,00000 00000 00000 01100 11100,00000 00000 00011 01111 01000
Alone_Plus,23,5,00000 10000 10010 10110 11110,00000 00010 00011 00011 01111,00010 11110 10000 10000 00000
Alone_Plus,24,5,00000 00100 00100 01110 01111,00000 00010 00110 01111 01111,01000 01111 00100 00100 00000
Alone_Plus,25,5,10000 10000 10100 10100 11110,00001 00001 00101 00101 11111,10000 10000 10100 10100 11110
Alone_Plus,26,5,00000 00100 01110 11110 11111,00000 00100 00100 00100 00100,00000 00000 11111 00000 00000
Alone_Plus,27,5,00000 00000 00100 00110 01110,00000 00000 00010 01010 11110,00000 01110 00100 00100 00100
Alone_Plus,28,5,00000 00000 11000 11100 11110,00000 00000 00010 00110 01110,00000 11110 11000 11000 00000
Alone_Plus,29,5,00000 00100 00110 01110 11111,00000 00100 00100 01110 11111,00100 00100 11111 00100 00100
Alone_Plus,30,5,00000 00000 00100 01110 11111,00000 00000 00100 01110 11111,11111 11111 11111 11111 11111
Alone_Plus,31,3,000 101 111,000 101 111,111 010 011
Alone_Plus,32,4,0000 0100 1110 1111,0000 0010 0110 0110,0000 1110 1111 0000
Alone_Plus,33,3,100 111 111,010 110 110,000 111 111
Alone_Plus,34,4,0000 0010 0111 1111,0000 0100 0101 1111,0111 0100 1111 0100
Alone_Plus,35,5,00000 00100 00100 10100 11110,00000 00001 00101 10101 11111,00110 10010 11110 10010 10000
Alone_Plus,36,5,00000 00000 11000 11110 11111,00000 00000 01100 01100 11110,00000 00111 11110 11111 10010
Alone_Plus,37,3,001 011 111,010 011 111,110 011 010
Alone_Plus,38,4,0000 0010 1010 1111,0000 0001 1101 1111,1111 1000 0110 1001
Alone_Plus,39,5,00000 00000 00000 10101 11111,00000 00000 00000 11111 11111,11111 10101 10001 10101 11111
Alone_Plus,40,3,000 111 111,000 111 111,101 010 011
Alone_Plus,41,3,010 010 110,010 011 111,010 110 010
Alone_Plus,42,3,100 100 111,001 011 011,101 111 000
Alone_Plus,43,4,0100 0100 1110 1110,0100 0100 0101 1111,1100 0100 0110 1100
Alone_Plus,44,5,00000 10100 10100 11110 11111,00000 00011 00011 01011 01111,11111 10100 00100 00110 00000
Alone_Plus,45,5,00000 00000 10101 11111 11111,00000 00000 10011 11111 11111,11100 00111 11100 10100 10110
Alone_Plus,46,5,00000 00100 00100 10110 11111,00000 00100 00100 01110 11110,00000 11100 10111 00110 00100
Alone_Plus,47,5,00000 00010 01010 11110 11110,00000 00010 01110 01110 01110,00000 11010 01010 01110 00000
Alone_Plus,48,4,1000 1100 1110 1111,0001 0011 0111 1111,1111 1100 1000 1000
Alone_Plus,49,4,0000 0110 0110 1111,0000 0110 0110 1111,0010 1110 0111 0100
Alone_Plus,50,5,00000 00000 00110 00110 00111,00000 00000 01011 01111 11111,00111 00111 00111 00110 00100
Alone_Minus,1,3,000 001 011,000 010 111,001 011 001
Alone_Minus,2,3,100 110 110,001 001 111,110 110 010
Alone_Minus,3,3,100 110 111,001 011 011,111 111 000
Alone_Minus,4,3,110 111 111,001 001 011,111 001 000
Alone_Minus,5,3,000 100 110,000 110 110,000 110 110
Alone_Minus,6,3,110 110 110,110 110 111,110 110 110
Alone_Minus,7,3,100 110 111,010 110 110,000 111 100
Alone_Minus,8,3,100 110 111,001 111 111,111 010 110
Alone_Minus,9,3,000 011 011,000 110 110,000 011 011
Alone_Minus,10,3,000 011 011,000 011 111,011 011 001
Alone_Minus,11,4,0000 0000 0100 1111,0000 0000 0010 0110,0000 1101 0111 0000
Alone_Minus,12,4,0000 0000 0100 0110,0000 0000 0110 1111,0100 0110 0110 0100
Alone_Minus,13,4,0000 0001 1001 1111,0000 0001 0111 1111,0001 0001 1111 0011
Alone_Minus,14,4,0001 0001 0011 1111,0001 0001 0011 1111,1111 0011 0001 0001
Alone_Minus,15,4,0001 0001 0011 1111,0100 0100 0110 1110,0000 0011 1111 0010
Alone_Minus,16,4,0000 0011 1111 1111,0000 0010 1110 1110,0000 1111 1111 1111
Alone_Minus,17,4,0100 0100 1110 1111,0010 0010 0010 1110,0000 1111 1010 1000
Alone_Minus,18,4,1100 1100 1100 1100,0101 0111 1111 1111,1100 1100 1100 1100
Alone_Minus,19,4,0000 1111 1111 1111,0000 1111 1111 1111,1111 1001 1001 1100
Alone_Minus,20,4,0000 0110 1110 1111,0000 0011 0011 1111,1100 0110 0011 0001
Alone_Minus,21,5,00000 00000 00010 01010 01111,00000 00000 00100 00101 01111,01000 01011 01110 01010 00000
Alone_Minus,22,5,00000 00100 00100 01110 01111,00000 00100 01100 11110 11110,00000 00100 01111 00100 00100
Alone_Minus,23,5,00000 00000 00100 01110 01111,00000 00000 00001 00011 00011,01110 01111 00000 00000 00000
Alone_Minus,24,5,00000 01110 01110 01110 00000,00000 01110 01110 01110 00000,00000 01110 01110 01110 00000
Alone_Minus,25,5,00000 00100 00100 01110 11111,00000 00100 00100 01110 11111,01110 11111 11111 11111 01110
Alone_Minus,26,5,00000 01010 11111 11111 11111,00000 00100 01100 01110 01110,00000 11111 11111 11111 00000
Alone_Minus,27,5,01000 01100 01110 01111 01111,00010 00110 01110 01110 01110,00000 01111 01111 01111 00000
Alone_Minus,28,5,10000 11000 11100 11110 11111,00001 00011 00111 01111 11111,11111 11111 11111 11111 11111
Alone_Minus,29,5,00000 01000 11000 11100 11110,00000 00010 00010 00111 01111,10000 11110 11000 11000 00000
Alone_Minus,30,5,00000 00000 00110 00111 01111,00000 00000 00011 01111 11111,01110 00110 00111 00011 00001
Alone_Minus,31,4,0100 0100 0110 1110,0010 0110 0110 1110,0000 0110 1100 1000
Alone_Minus,32,3,100 100 110,010 110 110,000 110 100
Alone_Minus,33,5,00110 00111 01111 01111 01111,01100 11110 11111 11111 11111,01000 01110 01111 01111 00101
Alone_Minus,34,4,0000 0100 0110 0111,0000 0100 0110 0111,0000 0111 0010 0010
Alone_Minus,35,5,00000 00000 01000 01100 11111,00000 00000 00010 00110 00110,00000 11110 11111 00010 00000
Alone_Minus,36,5,00000 01000 01100 11110 11110,00000 00010 00110 01110 01110,00000 01110 01110 11000 00000
Alone_Minus,37,5,00001 10001 11011 11111 11111,10000 10001 11011 11111 11111,11111 11011 10001 11011 11111
Alone_Minus,38,5,00000 01000 01110 01110 11111,00000 00010 01110 01110 11111,11111 11111 11111 11111 11111
Alone_Minus,39,3,100 111 111,010 111 111,111 110 110
Alone_Minus,40,4,1000 1010 1010 1111,0001 0011 0011 1111,1000 1010 1010 1111
Alone_Minus,41,3,001 101 111,001 101 111,011 011 110
Alone_Minus,42,3,100 111 111,010 111 111,111 110 110
Alone_Minus,43,3,101 111 111,110 110 110,000 011 111
Alone_Minus,44,3,010 110 111,010 110 110,000 110 011
Alone_Minus,45,4,0000 0100 1110 1111,0000 0001 0011 0011,1110 1111 0000 0000
Alone_Minus,46,4,0001 0001 0011 0111,0010 0010 0111 1111,0110 0011 0001 0001
Alone_Minus,47,5,00000 00100 01110 11111 11111,00000 00100 01110 11111 11111,11111 11111 11111 11111 11111
Alone_Minus,48,5,10001 10011 11011 11111 11111,11001 11001 11111 11111 11111,01111 00111 00111 11111 11111
Alone_Minus,49,3,100 110 111,001 011 111,111 110 110
Alone_Minus,50,5,00000 00010 00111 00111 11111,00000 01000 01110 11110 11111,00001 00111 00100 11110 00011
Alone_Count,1,3,0,0,111 010 010
Alone_Count,2,3,0,0,000 110 210
Alone_Count,3,3,0,0,002 011 011
Alone_Count,4,3,0,0,121 101 000
Alone_Count,5,3,0,0,320 110 100
Alone_Count,6,3,0,0,210 113 010
Alone_Count,7,3,0,0,031 020 130
Alone_Count,8,3,0,0,321 210 100
Alone_Count,9,3,0,0,122 003 000
Alone_Count,10,3,0,0,000 213 032
Alone_Count,11,4,0,0,0000 0120 0310 0112
Alone_Count,12,4,0,0,0222 0121 0322 0000
Alone_Count,13,4,0,0,1000 1100 1110 3210
Alone_Count,14,4,0,0,0000 3120 1223 0000
Alone_Count,15,4,0,0,0110 1231 1321 0110
Alone_Count,16,4,0,0,0010 0020 1231 0010
Alone_Count,17,4,0,0,3100 0100 0100 0124
Alone_Count,18,4,0,0,0400 0322 1110 0000
Alone_Count,19,4,0,0,0000 0300 1124 0230
Alone_Count,20,4,0,0,1111 1431 1221 1111
Alone_Count,21,5,0,0,00000 03230 11111 01110 00000
Alone_Count,22,5,0,0,00000 23110 11100 11000 10000
Alone_Count,23,5,0,0,00100 00200 12321 00200 00100
Alone_Count,24,5,0,0,54321 43210 32100 21000 10000
Alone_Count,25,5,0,0,01010 12321 03530 12321 01010
Alone_Count,26,5,0,0,00500 00210 13421 11100 21100
Alone_Count,27,5,0,0,04050 21020 01020 03410 03030
Alone_Count,28,5,0,0,00033 00113 02210 43200 55000
Alone_Count,29,5,0,0,03000 03320 00150 21135 10025
Alone_Count,30,5,0,0,55555 44444 33333 22222 11111
Alone_Count,31,5,0,0,00011 00310 03500 11000 10000
Alone_Count,32,3,0,0,323 101 022
Alone_Count,33,3,0,0,321 211 010
Alone_Count,34,4,0,0,0043 1233 1222 0010
Alone_Count,35,5,0,0,53000 22113 04202 01005 00025
Alone_Count,36,3,0,0,001 123 233
Alone_Count,37,5,0,0,55555 53335 53135 53335 55555
Alone_Count,38,5,0,0,50011 41002 32123 20014 11005
Alone_Count,39,4,0,0,0041 1212 0020 2140
Alone_Count,40,4,0,0,3210 2121 3410 2131
Alone_Count,41,3,0,0,131 303 131
Alone_Count,42,5,0,0,31313 02420 00500 02420 31313
Alone_Count,43,5,0,0,11111 10301 13531 10301 11111
Alone_Count,44,4,0,0,3000 1213 2121 0004
Alone_Count,45,4,0,0,0033 2043 1421 1111
Alone_Count,46,4,0,0,2140 1314 2000 1320
Alone_Count,47,5,0,0,54003 04211 02120 13320 50012
Alone_Count,48,4,0,0,4403 0112 2241 0300
Alone_Count,49,3,0,0,010 213 232
Alone_Count,50,3,0,0,323 211 323
